,dates,DocumentIdentifier
3674,2019-07-17 22:30:00,https://www.theregister.co.uk/2019/07/17/lithium_battery_pricefixing/
3747,2019-09-11 07:00:00,https://www.lse.co.uk/news/tianqi-starts-lithium-battery-chemical-production-in-western-australia-kupkdahubgsdfy2.html
3748,2019-09-11 07:15:00,https://www.reuters.com/article/us-australia-lithium/tianqi-starts-lithium-battery-chemical-production-in-western-australia-idUSKCN1VW0M5
3750,2019-09-12 02:00:00,https://www.reuters.com/article/us-california-fire/final-body-found-in-california-boat-fire-coast-guard-issues-lithium-battery-warning-idUSKCN1VW2X1
3751,2019-09-12 05:45:00,https://www.straitstimes.com/world/united-states/final-body-found-in-california-boat-fire-coast-guard-issues-lithium-battery
3752,2019-09-12 07:00:00,https://www.independent.ie/world-news/north-america/final-body-found-in-california-boat-fire-coast-guard-issues-lithium-battery-warning-38491174.html
3757,2019-09-12 18:30:00,https://vancouversun.com/pmn/environment-pmn/final-body-found-in-california-boat-fire-coast-guard-issues-lithium-battery-warning/wcm/bbf36844-dd5a-4ead-b4d4-060dec94cd0f
3798,2019-10-03 08:45:00,https://www.wkrb13.com/2019/10/03/prudential-plc-purchases-new-holdings-in-global-x-lithium-battery-tech-etf-nysearcalit.html
3800,2019-10-07 21:45:00,https://991thewhale.com/endicott-awaits-start-of-production-at-lithium-battery-factory/
3810,2019-10-09 17:45:00,https://www.pressconnects.com/story/news/2015/10/09/binghamton-lithium-battery/73161696/
3858,2019-10-11 14:30:00,https://finance.yahoo.com/news/lithium-battery-dreams-rude-awakening-103000494.html
3859,2019-10-11 17:15:00,https://www.fleetowner.com/running-green/lithium-battery-dreams-get-rude-awakening-south-america
3860,2019-10-11 17:45:00,https://www.mining.com/web/lithium-battery-dreams-get-a-rude-awakening-in-south-america/
3884,2019-10-20 01:45:00,https://revolution-green.com/powering-future-lithium-battery-doesnt-get-thrown-away/
